Driver ID,Request ID,Sequence,Node ID,Latitude,Longitude
DRIVER_01,REQ_0001,1,12878563573,10.8124836,106.6560546
DRIVER_01,REQ_0001,2,12749483933,10.8119006,106.6554687
DRIVER_01,REQ_0001,3,12878563582,10.8113084,106.6538622
DRIVER_01,REQ_0001,4,12738755477,10.8110444,106.6531332
DRIVER_01,REQ_0001,5,12738755472,10.8090471,106.6530783
DRIVER_01,REQ_0001,6,12908951539,10.8088375,106.6530635
DRIVER_01,REQ_0001,7,13120862922,10.8087853,106.6536127
DRIVER_01,REQ_0001,8,5719638619,10.8086763,106.6546057
DRIVER_01,REQ_0001,9,12350504398,10.8084614,106.6549194
DRIVER_01,REQ_0001,10,12350504397,10.8073925,106.6549246
DRIVER_01,REQ_0001,11,12350576329,10.8065102,106.6548994
DRIVER_01,REQ_0001,12,13086411831,10.8062881,106.6548909
DRIVER_01,REQ_0001,13,12350576330,10.8050015,106.6548582
DRIVER_01,REQ_0001,14,2079964423,10.801369,106.6545554
DRIVER_01,REQ_0001,15,12834017505,10.801246,106.6545425
DRIVER_01,REQ_0001,16,2513642423,10.8010827,106.6564177
DRIVER_01,REQ_0001,17,5721686013,10.8010476,106.6568219
DRIVER_01,REQ_0001,18,366461736,10.8010274,106.6570556
DRIVER_01,REQ_0001,19,11414869197,10.8007913,106.6575484
DRIVER_01,REQ_0001,20,11414869198,10.8004355,106.6576789
DRIVER_01,REQ_0001,21,11414362356,10.7998474,106.6578317
DRIVER_01,REQ_0001,22,11414362359,10.799531,106.6579179
DRIVER_01,REQ_0001,23,11361818084,10.7993868,106.6579611
DRIVER_01,REQ_0001,24,366367322,10.7991329,106.6571621
DRIVER_01,REQ_0001,25,6257994039,10.7991329,106.6571047
DRIVER_02,REQ_0002,1,12878563573,10.8124836,106.6560546
DRIVER_02,REQ_0002,2,12749483933,10.8119006,106.6554687
DRIVER_02,REQ_0002,3,12878563582,10.8113084,106.6538622
DRIVER_02,REQ_0002,4,12738755477,10.8110444,106.6531332
DRIVER_02,REQ_0002,5,12738755472,10.8090471,106.6530783
DRIVER_02,REQ_0002,6,12908951539,10.8088375,106.6530635
DRIVER_02,REQ_0002,7,13120862922,10.8087853,106.6536127
DRIVER_02,REQ_0002,8,5719638619,10.8086763,106.6546057
DRIVER_02,REQ_0002,9,12350504398,10.8084614,106.6549194
DRIVER_02,REQ_0002,10,12350504397,10.8073925,106.6549246
DRIVER_02,REQ_0002,11,12350576329,10.8065102,106.6548994
DRIVER_02,REQ_0002,12,13086411831,10.8062881,106.6548909
DRIVER_02,REQ_0002,13,12350576330,10.8050015,106.6548582
DRIVER_02,REQ_0002,14,2079964423,10.801369,106.6545554
DRIVER_02,REQ_0002,15,12834017505,10.801246,106.6545425
DRIVER_02,REQ_0002,16,2513642423,10.8010827,106.6564177
DRIVER_02,REQ_0002,17,5721686013,10.8010476,106.6568219
DRIVER_02,REQ_0002,18,366461736,10.8010274,106.6570556
DRIVER_02,REQ_0002,19,11414869197,10.8007913,106.6575484
DRIVER_02,REQ_0002,20,11414869198,10.8004355,106.6576789
DRIVER_02,REQ_0002,21,11414362356,10.7998474,106.6578317
DRIVER_02,REQ_0002,22,11414362359,10.799531,106.6579179
DRIVER_02,REQ_0002,23,11361818084,10.7993868,106.6579611
DRIVER_02,REQ_0002,24,366367322,10.7991329,106.6571621
DRIVER_02,REQ_0002,25,6257994039,10.7991329,106.6571047
DRIVER_03,REQ_0003,1,12878563573,10.8124836,106.6560546
DRIVER_03,REQ_0003,2,12749483933,10.8119006,106.6554687
DRIVER_03,REQ_0003,3,12878563582,10.8113084,106.6538622
DRIVER_03,REQ_0003,4,12738755477,10.8110444,106.6531332
DRIVER_03,REQ_0003,5,12738755472,10.8090471,106.6530783
DRIVER_03,REQ_0003,6,12908951539,10.8088375,106.6530635
DRIVER_03,REQ_0003,7,13120862922,10.8087853,106.6536127
DRIVER_03,REQ_0003,8,5719638619,10.8086763,106.6546057
DRIVER_03,REQ_0003,9,12350504398,10.8084614,106.6549194
DRIVER_03,REQ_0003,10,12350504397,10.8073925,106.6549246
DRIVER_03,REQ_0003,11,12350576329,10.8065102,106.6548994
DRIVER_03,REQ_0003,12,13086411831,10.8062881,106.6548909
DRIVER_03,REQ_0003,13,12350576330,10.8050015,106.6548582
DRIVER_03,REQ_0003,14,2079964423,10.801369,106.6545554
DRIVER_03,REQ_0003,15,12834017505,10.801246,106.6545425
DRIVER_03,REQ_0003,16,2513642423,10.8010827,106.6564177
DRIVER_03,REQ_0003,17,5721686013,10.8010476,106.6568219
DRIVER_03,REQ_0003,18,366461736,10.8010274,106.6570556
DRIVER_03,REQ_0003,19,11414869197,10.8007913,106.6575484
DRIVER_03,REQ_0003,20,11414869198,10.8004355,106.6576789
DRIVER_03,REQ_0003,21,11414362356,10.7998474,106.6578317
DRIVER_03,REQ_0003,22,11414362359,10.799531,106.6579179
DRIVER_03,REQ_0003,23,11361818084,10.7993868,106.6579611
DRIVER_03,REQ_0003,24,366367322,10.7991329,106.6571621
DRIVER_03,REQ_0003,25,6257994039,10.7991329,106.6571047
DRIVER_04,REQ_0004,1,12878563573,10.8124836,106.6560546
DRIVER_04,REQ_0004,2,12749483933,10.8119006,106.6554687
DRIVER_04,REQ_0004,3,12878563582,10.8113084,106.6538622
DRIVER_04,REQ_0004,4,12738755477,10.8110444,106.6531332
DRIVER_04,REQ_0004,5,12738755472,10.8090471,106.6530783
DRIVER_04,REQ_0004,6,12908951539,10.8088375,106.6530635
DRIVER_04,REQ_0004,7,13120862922,10.8087853,106.6536127
DRIVER_04,REQ_0004,8,5719638619,10.8086763,106.6546057
DRIVER_04,REQ_0004,9,12350504398,10.8084614,106.6549194
DRIVER_04,REQ_0004,10,12350504397,10.8073925,106.6549246
DRIVER_04,REQ_0004,11,12350576329,10.8065102,106.6548994
DRIVER_04,REQ_0004,12,13086411831,10.8062881,106.6548909
DRIVER_04,REQ_0004,13,12350576330,10.8050015,106.6548582
DRIVER_04,REQ_0004,14,2079964423,10.801369,106.6545554
DRIVER_04,REQ_0004,15,12834017505,10.801246,106.6545425
DRIVER_04,REQ_0004,16,2513642423,10.8010827,106.6564177
DRIVER_04,REQ_0004,17,5721686013,10.8010476,106.6568219
DRIVER_04,REQ_0004,18,366461736,10.8010274,106.6570556
DRIVER_04,REQ_0004,19,11414869197,10.8007913,106.6575484
DRIVER_04,REQ_0004,20,11414869198,10.8004355,106.6576789
DRIVER_04,REQ_0004,21,11414362356,10.7998474,106.6578317
DRIVER_04,REQ_0004,22,11414362359,10.799531,106.6579179
DRIVER_04,REQ_0004,23,11361818084,10.7993868,106.6579611
DRIVER_04,REQ_0004,24,366367322,10.7991329,106.6571621
DRIVER_04,REQ_0004,25,6257994039,10.7991329,106.6571047
DRIVER_05,REQ_0005,1,12878563573,10.8124836,106.6560546
DRIVER_05,REQ_0005,2,12749483933,10.8119006,106.6554687
DRIVER_05,REQ_0005,3,12878563582,10.8113084,106.6538622
DRIVER_05,REQ_0005,4,12738755477,10.8110444,106.6531332
DRIVER_05,REQ_0005,5,12738755472,10.8090471,106.6530783
DRIVER_05,REQ_0005,6,12908951539,10.8088375,106.6530635
DRIVER_05,REQ_0005,7,13120862922,10.8087853,106.6536127
DRIVER_05,REQ_0005,8,5719638619,10.8086763,106.6546057
DRIVER_05,REQ_0005,9,12350504398,10.8084614,106.6549194
DRIVER_05,REQ_0005,10,12350504397,10.8073925,106.6549246
DRIVER_05,REQ_0005,11,12350576329,10.8065102,106.6548994
DRIVER_05,REQ_0005,12,13086411831,10.8062881,106.6548909
DRIVER_05,REQ_0005,13,12350576330,10.8050015,106.6548582
DRIVER_05,REQ_0005,14,2079964423,10.801369,106.6545554
DRIVER_05,REQ_0005,15,12834017505,10.801246,106.6545425
DRIVER_05,REQ_0005,16,2513642423,10.8010827,106.6564177
DRIVER_05,REQ_0005,17,5721686013,10.8010476,106.6568219
DRIVER_05,REQ_0005,18,366461736,10.8010274,106.6570556
DRIVER_05,REQ_0005,19,11414869197,10.8007913,106.6575484
DRIVER_05,REQ_0005,20,11414869198,10.8004355,106.6576789
DRIVER_05,REQ_0005,21,11414362356,10.7998474,106.6578317
DRIVER_05,REQ_0005,22,11414362359,10.799531,106.6579179
DRIVER_05,REQ_0005,23,11361818084,10.7993868,106.6579611
DRIVER_05,REQ_0005,24,366367322,10.7991329,106.6571621
DRIVER_05,REQ_0005,25,6257994039,10.7991329,106.6571047
DRIVER_06,REQ_0006,1,12878563573,10.8124836,106.6560546
DRIVER_06,REQ_0006,2,12749483933,10.8119006,106.6554687
DRIVER_06,REQ_0006,3,12878563582,10.8113084,106.6538622
DRIVER_06,REQ_0006,4,12738755477,10.8110444,106.6531332
DRIVER_06,REQ_0006,5,12738755472,10.8090471,106.6530783
DRIVER_06,REQ_0006,6,12908951539,10.8088375,106.6530635
DRIVER_06,REQ_0006,7,13120862922,10.8087853,106.6536127
DRIVER_06,REQ_0006,8,5719638619,10.8086763,106.6546057
DRIVER_06,REQ_0006,9,12350504398,10.8084614,106.6549194
DRIVER_06,REQ_0006,10,12350504397,10.8073925,106.6549246
DRIVER_06,REQ_0006,11,12350576329,10.8065102,106.6548994
DRIVER_06,REQ_0006,12,13086411831,10.8062881,106.6548909
DRIVER_06,REQ_0006,13,12350576330,10.8050015,106.6548582
DRIVER_06,REQ_0006,14,2079964423,10.801369,106.6545554
DRIVER_06,REQ_0006,15,12834017505,10.801246,106.6545425
DRIVER_06,REQ_0006,16,2513642423,10.8010827,106.6564177
DRIVER_06,REQ_0006,17,5721686013,10.8010476,106.6568219
DRIVER_06,REQ_0006,18,366461736,10.8010274,106.6570556
DRIVER_06,REQ_0006,19,11414869197,10.8007913,106.6575484
DRIVER_06,REQ_0006,20,11414869198,10.8004355,106.6576789
DRIVER_06,REQ_0006,21,11414362356,10.7998474,106.6578317
DRIVER_06,REQ_0006,22,11414362359,10.799531,106.6579179
DRIVER_06,REQ_0006,23,11361818084,10.7993868,106.6579611
DRIVER_06,REQ_0006,24,366367322,10.7991329,106.6571621
DRIVER_06,REQ_0006,25,6257994039,10.7991329,106.6571047
DRIVER_07,REQ_0007,1,12878563573,10.8124836,106.6560546
DRIVER_07,REQ_0007,2,12749483933,10.8119006,106.6554687
DRIVER_07,REQ_0007,3,12878563582,10.8113084,106.6538622
DRIVER_07,REQ_0007,4,12738755477,10.8110444,106.6531332
DRIVER_07,REQ_0007,5,12738755472,10.8090471,106.6530783
DRIVER_07,REQ_0007,6,12908951539,10.8088375,106.6530635
DRIVER_07,REQ_0007,7,13120862922,10.8087853,106.6536127
DRIVER_07,REQ_0007,8,5719638619,10.8086763,106.6546057
DRIVER_07,REQ_0007,9,12350504398,10.8084614,106.6549194
DRIVER_07,REQ_0007,10,12350504397,10.8073925,106.6549246
DRIVER_07,REQ_0007,11,12350576329,10.8065102,106.6548994
DRIVER_07,REQ_0007,12,13086411831,10.8062881,106.6548909
DRIVER_07,REQ_0007,13,12350576330,10.8050015,106.6548582
DRIVER_07,REQ_0007,14,2079964423,10.801369,106.6545554
DRIVER_07,REQ_0007,15,12834017505,10.801246,106.6545425
DRIVER_07,REQ_0007,16,2513642423,10.8010827,106.6564177
DRIVER_07,REQ_0007,17,5721686013,10.8010476,106.6568219
DRIVER_07,REQ_0007,18,366461736,10.8010274,106.6570556
DRIVER_07,REQ_0007,19,11414869197,10.8007913,106.6575484
DRIVER_07,REQ_0007,20,11414869198,10.8004355,106.6576789
DRIVER_07,REQ_0007,21,11414362356,10.7998474,106.6578317
DRIVER_07,REQ_0007,22,11414362359,10.799531,106.6579179
DRIVER_07,REQ_0007,23,11361818084,10.7993868,106.6579611
DRIVER_07,REQ_0007,24,366367322,10.7991329,106.6571621
DRIVER_07,REQ_0007,25,6257994039,10.7991329,106.6571047
DRIVER_08,REQ_0008,1,12878563573,10.8124836,106.6560546
DRIVER_08,REQ_0008,2,12749483933,10.8119006,106.6554687
DRIVER_08,REQ_0008,3,12878563582,10.8113084,106.6538622
DRIVER_08,REQ_0008,4,12738755477,10.8110444,106.6531332
DRIVER_08,REQ_0008,5,12738755472,10.8090471,106.6530783
DRIVER_08,REQ_0008,6,12908951539,10.8088375,106.6530635
DRIVER_08,REQ_0008,7,13120862922,10.8087853,106.6536127
DRIVER_08,REQ_0008,8,5719638619,10.8086763,106.6546057
DRIVER_08,REQ_0008,9,12350504398,10.8084614,106.6549194
DRIVER_08,REQ_0008,10,12350504397,10.8073925,106.6549246
DRIVER_08,REQ_0008,11,12350576329,10.8065102,106.6548994
DRIVER_08,REQ_0008,12,13086411831,10.8062881,106.6548909
DRIVER_08,REQ_0008,13,12350576330,10.8050015,106.6548582
DRIVER_08,REQ_0008,14,2079964423,10.801369,106.6545554
DRIVER_08,REQ_0008,15,12834017505,10.801246,106.6545425
DRIVER_08,REQ_0008,16,2513642423,10.8010827,106.6564177
DRIVER_08,REQ_0008,17,5721686013,10.8010476,106.6568219
DRIVER_08,REQ_0008,18,366461736,10.8010274,106.6570556
DRIVER_08,REQ_0008,19,11414869197,10.8007913,106.6575484
DRIVER_08,REQ_0008,20,11414869198,10.8004355,106.6576789
DRIVER_08,REQ_0008,21,11414362356,10.7998474,106.6578317
DRIVER_08,REQ_0008,22,11414362359,10.799531,106.6579179
DRIVER_08,REQ_0008,23,11361818084,10.7993868,106.6579611
DRIVER_08,REQ_0008,24,366367322,10.7991329,106.6571621
DRIVER_08,REQ_0008,25,6257994039,10.7991329,106.6571047
DRIVER_09,REQ_0009,1,12878563573,10.8124836,106.6560546
DRIVER_09,REQ_0009,2,12749483933,10.8119006,106.6554687
DRIVER_09,REQ_0009,3,12878563582,10.8113084,106.6538622
DRIVER_09,REQ_0009,4,12738755477,10.8110444,106.6531332
DRIVER_09,REQ_0009,5,12738755472,10.8090471,106.6530783
DRIVER_09,REQ_0009,6,12908951539,10.8088375,106.6530635
DRIVER_09,REQ_0009,7,13120862922,10.8087853,106.6536127
DRIVER_09,REQ_0009,8,5719638619,10.8086763,106.6546057
DRIVER_09,REQ_0009,9,12350504398,10.8084614,106.6549194
DRIVER_09,REQ_0009,10,12350504397,10.8073925,106.6549246
DRIVER_09,REQ_0009,11,12350576329,10.8065102,106.6548994
DRIVER_09,REQ_0009,12,13086411831,10.8062881,106.6548909
DRIVER_09,REQ_0009,13,12350576330,10.8050015,106.6548582
DRIVER_09,REQ_0009,14,2079964423,10.801369,106.6545554
DRIVER_09,REQ_0009,15,12834017505,10.801246,106.6545425
DRIVER_09,REQ_0009,16,2513642423,10.8010827,106.6564177
DRIVER_09,REQ_0009,17,5721686013,10.8010476,106.6568219
DRIVER_09,REQ_0009,18,366461736,10.8010274,106.6570556
DRIVER_09,REQ_0009,19,11414869197,10.8007913,106.6575484
DRIVER_09,REQ_0009,20,11414869198,10.8004355,106.6576789
DRIVER_09,REQ_0009,21,11414362356,10.7998474,106.6578317
DRIVER_09,REQ_0009,22,11414362359,10.799531,106.6579179
DRIVER_09,REQ_0009,23,11361818084,10.7993868,106.6579611
DRIVER_09,REQ_0009,24,366367322,10.7991329,106.6571621
DRIVER_09,REQ_0009,25,6257994039,10.7991329,106.6571047
DRIVER_10,REQ_0010,1,12878563573,10.8124836,106.6560546
DRIVER_10,REQ_0010,2,12749483933,10.8119006,106.6554687
DRIVER_10,REQ_0010,3,12878563582,10.8113084,106.6538622
DRIVER_10,REQ_0010,4,12738755477,10.8110444,106.6531332
DRIVER_10,REQ_0010,5,12738755472,10.8090471,106.6530783
DRIVER_10,REQ_0010,6,12908951539,10.8088375,106.6530635
DRIVER_10,REQ_0010,7,13120862922,10.8087853,106.6536127
DRIVER_10,REQ_0010,8,5719638619,10.8086763,106.6546057
DRIVER_10,REQ_0010,9,12350504398,10.8084614,106.6549194
DRIVER_10,REQ_0010,10,12350504397,10.8073925,106.6549246
DRIVER_10,REQ_0010,11,12350576329,10.8065102,106.6548994
DRIVER_10,REQ_0010,12,13086411831,10.8062881,106.6548909
DRIVER_10,REQ_0010,13,12350576330,10.8050015,106.6548582
DRIVER_10,REQ_0010,14,2079964423,10.801369,106.6545554
DRIVER_10,REQ_0010,15,12834017505,10.801246,106.6545425
DRIVER_10,REQ_0010,16,2513642423,10.8010827,106.6564177
DRIVER_10,REQ_0010,17,5721686013,10.8010476,106.6568219
DRIVER_10,REQ_0010,18,366461736,10.8010274,106.6570556
DRIVER_10,REQ_0010,19,11414869197,10.8007913,106.6575484
DRIVER_10,REQ_0010,20,11414869198,10.8004355,106.6576789
DRIVER_10,REQ_0010,21,11414362356,10.7998474,106.6578317
DRIVER_10,REQ_0010,22,11414362359,10.799531,106.6579179
DRIVER_10,REQ_0010,23,11361818084,10.7993868,106.6579611
DRIVER_10,REQ_0010,24,366367322,10.7991329,106.6571621
DRIVER_10,REQ_0010,25,6257994039,10.7991329,106.6571047
